Convex hull shape for accurate collision detections.
Vertex Count: 22

Vertices: 

-0.000097 0.117840 0.062614
-0.307793 0.117849 0.062134
-0.249309 0.118127 0.243093
-0.095632 0.118292 0.355106
0.094533 0.118292 0.355402
0.248560 0.118108 0.243860
0.307608 0.117831 0.063094
0.249124 0.117544 -0.117856
0.095447 0.117378 -0.229879
-0.094727 0.117387 -0.230175
-0.248746 0.117563 -0.118632
-0.225992 -0.163738 -0.109168
-0.183006 -0.163535 0.023834
-0.070059 -0.163414 0.106172
0.069718 -0.163414 0.106385
0.182923 -0.163544 0.024407
0.226324 -0.163757 -0.108457
0.183339 -0.163960 -0.241459
0.070383 -0.164089 -0.323796
-0.069394 -0.164080 -0.324009
-0.182600 -0.163951 -0.242032
0.000162 -0.163747 -0.108817
