Convex hull shape for accurate collision detections.
Vertex Count: 20

Vertices: 

0.035867 0.054354 -0.083659
0.093689 0.012202 -0.083721
0.115695 -0.055888 -0.083824
-0.157478 0.032301 0.060323
-0.127538 -0.060336 0.060176
-0.048863 -0.117685 0.060091
0.035526 -0.165875 -0.084000
-0.036032 -0.165766 -0.084004
0.048959 0.181795 0.060560
0.127633 0.124450 0.060474
-0.093859 -0.123614 -0.083938
-0.048396 0.181946 0.060559
-0.093646 0.012495 -0.083725
-0.115865 -0.055524 -0.083834
-0.035692 0.054463 -0.083659
0.048495 -0.117837 0.060096
0.127344 -0.060733 0.060186
0.157573 0.031809 0.060332
-0.127249 0.124843 0.060464
0.093481 -0.123907 -0.083933
