Convex hull shape for accurate collision detections.
Vertex Count: 28

Vertices: 

-0.073345 -0.051923 -0.047466
-0.061873 -0.006036 -0.127786
-0.061873 -0.051923 -0.139284
0.052816 0.062795 -0.036000
-0.073345 0.062795 0.124575
0.052816 0.062795 0.124575
-0.073345 0.062795 0.021325
-0.084815 0.005431 0.090180
-0.061873 -0.051923 0.113110
0.087228 -0.051923 -0.127786
0.029875 0.062795 0.147538
0.064286 -0.040456 0.147538
0.064286 0.062795 0.044288
0.075758 0.016886 -0.127786
-0.038933 0.028363 -0.150716
-0.027462 0.039829 -0.139284
0.029875 0.016886 -0.173711
-0.027462 -0.040456 -0.173711
0.052816 -0.040456 -0.173711
0.087228 -0.028979 -0.127786
-0.084815 -0.040456 0.136073
-0.073345 -0.040456 0.147538
0.029875 -0.051923 0.078715
0.087228 -0.017513 -0.081893
0.029875 -0.040456 0.159036
0.041346 0.039829 -0.139284
-0.027462 0.062795 -0.058930
-0.015991 0.062795 0.147538
