Convex hull shape for accurate collision detections.
Vertex Count: 34

Vertices: 

0.060518 -0.104428 -0.094438
-0.019801 -0.012625 -0.094438
0.083473 0.159459 -0.082963
-0.031256 -0.138786 0.100620
0.071996 -0.173270 0.100620
-0.008323 0.147978 0.100620
-0.019801 -0.196232 -0.094438
-0.134485 -0.012625 -0.094438
0.060518 -0.196232 -0.094438
0.083473 0.205339 0.100620
0.083473 0.239781 0.043225
0.083473 -0.161790 0.089145
-0.134485 -0.104428 -0.094438
0.060518 0.193858 -0.071488
0.083473 -0.058506 -0.060013
-0.111531 -0.127348 -0.014113
-0.134485 -0.092948 -0.002638
-0.145985 -0.081467 -0.025588
-0.134485 -0.047067 0.031750
-0.145985 0.010379 0.008800
-0.100053 -0.035587 0.066194
-0.111531 0.044693 0.043225
-0.008323 0.170853 -0.048538
0.003154 0.193858 -0.025588
-0.123008 0.044693 -0.025588
0.083473 0.228258 -0.025588
0.049041 -0.173270 0.100620
-0.019801 0.170853 0.054719
0.003154 0.193858 0.054719
-0.145985 -0.012625 -0.071488
0.037564 0.216820 0.066194
-0.019801 -0.196232 -0.082963
-0.077120 0.021774 0.077670
0.049041 0.228258 0.008800
