Convex hull shape for accurate collision detections.
Vertex Count: 31

Vertices: 

-0.066228 -0.099901 -0.152470
-0.066228 -0.122819 -0.152470
-0.066228 -0.099901 0.019505
-0.054752 0.186945 0.191643
0.059961 0.186945 0.283507
0.048486 0.186945 -0.083626
-0.054752 0.186945 -0.083626
-0.054752 -0.076904 -0.267246
-0.054752 -0.157215 0.111370
-0.031800 -0.214646 0.053955
0.014068 -0.214646 0.053955
-0.031799 -0.214646 -0.198402
0.059962 0.186945 -0.072142
0.059961 0.095117 0.283507
0.048486 -0.076904 -0.267246
0.048486 -0.145776 -0.267246
-0.054752 -0.157215 -0.267246
0.059962 0.072198 -0.049231
-0.043276 0.186945 0.237521
0.059961 0.049202 0.214609
0.048485 -0.145776 0.111370
0.037009 -0.157215 0.111370
0.014068 0.186945 0.283507
-0.020336 0.129513 0.260541
0.037009 -0.180211 0.088350
0.025533 -0.203128 -0.209831
-0.043276 0.140991 0.237521
0.048485 0.095117 0.283507
0.014069 -0.214646 -0.198402
0.037009 -0.180211 -0.244280
-0.043276 -0.191690 -0.232797
