Convex hull shape for accurate collision detections.
Vertex Count: 29

Vertices: 

-0.048402 -0.367482 0.195516
-0.013981 -0.367482 0.229929
-0.059879 -0.275601 0.195516
0.054839 0.194715 0.241430
0.054839 -0.264164 -0.194574
0.054839 0.389763 -0.194575
0.054839 -0.367482 0.241430
-0.059879 -0.367482 -0.125658
-0.059879 -0.367482 0.149602
-0.059879 0.286444 -0.217531
-0.059879 0.137298 0.195516
-0.059879 -0.195310 -0.217531
0.020418 0.389763 -0.217531
0.054839 0.389764 0.046317
0.054839 -0.367482 -0.114247
-0.048402 0.389763 -0.217531
-0.048402 0.389764 0.069229
0.054839 -0.183796 -0.217531
0.008941 0.114347 0.241430
0.054839 0.401277 -0.160162
-0.059879 0.263493 0.069229
0.020418 0.389764 0.069229
-0.013981 0.137298 0.229929
0.020418 -0.229699 -0.217531
0.008941 -0.367482 0.241430
0.054839 0.137373 -0.217531
0.043374 0.194715 0.241429
0.043374 -0.367482 -0.125658
0.043374 0.401277 -0.091245
