Convex hull shape for accurate collision detections.
Vertex Count: 41

Vertices: 

0.204521 0.098370 -0.082562
0.181587 -0.154050 -0.036671
0.181587 0.098370 -0.105519
-0.162515 0.144276 -0.116998
-0.185449 0.144276 0.055113
0.216030 0.144276 -0.048149
0.158653 0.144276 0.066546
-0.151048 -0.154050 0.112483
0.147185 -0.154050 -0.059628
0.170120 -0.154050 0.089526
-0.139580 -0.154050 -0.059628
0.193054 -0.154050 -0.013714
0.158653 0.144276 -0.116998
0.204521 0.121294 -0.082562
0.147185 0.086894 -0.116998
-0.208426 0.144276 0.032156
-0.208426 0.098370 -0.071083
-0.208426 -0.108145 0.009199
-0.151048 0.086894 -0.116998
-0.185449 -0.142573 -0.036671
0.204521 0.144276 0.032156
0.204521 0.018037 0.043635
-0.082202 -0.062210 0.112483
-0.139580 0.006560 0.101005
0.147185 0.006560 0.101005
0.158653 -0.108145 0.112483
-0.196916 -0.154050 0.032156
-0.139580 0.098370 0.078048
0.147185 -0.154050 0.112483
0.193054 -0.131068 0.066546
-0.196916 0.132799 -0.094040
0.216030 0.086894 -0.048149
0.170120 0.040960 0.089526
-0.196916 -0.108145 0.066546
-0.185449 -0.073716 0.089526
-0.173982 0.075417 -0.105519
-0.151048 -0.108145 -0.071083
0.193054 0.040960 0.066546
-0.208426 0.144276 -0.071083
0.204521 -0.062210 0.009199
-0.173982 -0.073716 0.101005
