Convex hull shape for accurate collision detections.
Vertex Count: 34

Vertices: 

-0.027071 -0.582059 -0.208798
-0.050026 -0.524784 -0.208798
-0.015599 -0.593627 -0.208798
0.053226 -0.536239 -0.208798
-0.027071 0.565022 -0.208798
0.041753 0.565022 -0.208798
-0.050026 0.565022 0.066547
-0.050026 -0.283776 0.261591
0.053226 0.324015 0.215731
0.053226 -0.100271 0.215731
0.053226 -0.536239 0.089478
0.041753 0.565022 0.089478
-0.050026 0.392858 -0.208798
0.053226 0.461701 -0.208798
0.018808 -0.226502 0.250080
-0.050026 0.358494 0.238615
0.030291 -0.593627 -0.208798
-0.050026 -0.524784 0.089478
-0.027071 -0.582059 0.043571
0.018808 -0.593627 0.009268
-0.004126 0.278195 0.261591
-0.027071 0.312561 0.261591
0.053226 0.450246 0.089478
-0.050026 0.565022 -0.036638
-0.027071 0.565022 0.089478
-0.050026 0.312561 0.261591
-0.004126 -0.226502 0.261591
0.041753 -0.237957 0.215731
-0.038543 -0.536239 0.089478
0.018808 0.278195 0.250080
-0.015599 0.335583 0.250080
-0.038543 0.519089 -0.208798
-0.038543 -0.283776 0.261591
-0.015599 -0.593627 0.032106
