Convex hull shape for accurate collision detections.
Vertex Count: 24

Vertices: 

-0.087752 0.070508 -0.030790
-0.087752 -0.044201 0.038036
-0.087752 0.185217 -0.030790
-0.076272 -0.181917 -0.042275
-0.076272 -0.147468 0.038036
-0.076272 0.231149 0.038036
0.118752 -0.090093 0.038036
0.095812 0.013214 -0.042275
0.118752 -0.101576 -0.042275
0.015554 -0.181917 -0.030790
-0.007430 0.173774 -0.007843
-0.041829 0.139285 -0.042275
0.095812 0.058984 0.038036
0.130254 -0.009752 -0.030790
0.015554 -0.147468 0.038036
0.095812 -0.124542 0.026558
-0.087752 0.231149 0.038036
0.004051 0.173774 0.015088
0.118752 0.024616 0.015088
0.130254 -0.055684 0.038036
-0.076272 0.139285 -0.042275
0.084331 -0.135985 -0.042275
-0.018867 0.196659 0.038036
0.130254 0.001731 0.038036
