Convex hull shape for accurate collision detections.
Vertex Count: 23

Vertices: 

-0.067336 0.249942 -0.043124
-0.067336 0.272850 0.048668
-0.055855 0.318779 -0.031650
-0.055855 0.318779 0.048668
-0.078816 -0.266281 0.048668
0.024489 -0.266281 0.048669
-0.067336 -0.266281 -0.043124
0.139189 -0.151514 -0.043124
0.024489 0.238431 -0.043124
0.012987 0.318779 0.048668
-0.078816 0.181105 -0.043124
0.012987 0.318779 -0.031650
0.093267 -0.243316 -0.043124
-0.078816 0.158140 0.048668
0.139189 -0.128606 -0.031649
0.127688 -0.174479 -0.008693
-0.078816 -0.174479 -0.043124
0.127688 -0.117095 -0.008693
0.093267 -0.128606 0.025720
0.035884 -0.059769 0.048668
0.024489 -0.266281 -0.043124
0.116228 -0.220352 -0.020167
0.104747 -0.185933 0.014247
