Convex hull shape for accurate collision detections.
Vertex Count: 29

Vertices: 

0.078364 0.056615 -0.152440
0.078364 0.102498 -0.026239
0.078364 0.033659 -0.186870
0.066903 -0.046597 0.157301
-0.024872 0.148412 0.157301
-0.128128 0.045137 0.157301
0.066903 0.033659 0.157301
0.078364 -0.161382 -0.037727
0.078364 -0.035118 -0.198359
-0.024872 -0.000746 -0.198359
-0.024872 0.045137 -0.175382
-0.128128 0.125455 0.145778
-0.105144 0.148412 0.134289
0.078364 -0.138425 -0.129497
-0.024872 -0.035118 -0.198359
0.078364 -0.103958 0.065462
-0.024872 -0.161382 -0.037727
-0.013410 -0.058076 0.145778
-0.093683 0.159890 0.145778
-0.128128 0.056615 0.134289
-0.024872 -0.138425 -0.129497
0.009534 0.125455 0.157301
0.066903 0.113976 -0.037727
-0.013410 0.113976 -0.026239
-0.116626 0.022180 0.157301
-0.024872 -0.161382 -0.072123
0.055420 -0.115437 -0.152440
-0.070739 0.159890 0.157301
-0.024872 -0.103958 0.065462
