Convex hull shape for accurate collision detections.
Vertex Count: 15

Vertices: 

-0.049311 -0.005012 0.047697
-0.049311 0.006424 -0.055569
-0.049311 -0.096824 0.047697
0.030981 0.098216 0.047697
-0.037829 0.098216 0.047697
0.053935 -0.096824 0.047697
-0.037829 0.098216 -0.044086
0.053935 -0.073857 -0.044086
-0.049311 -0.096824 0.024731
-0.049311 -0.062383 -0.055569
0.030981 0.098216 -0.044086
0.042453 0.063794 -0.044086
0.042453 0.029371 -0.055569
0.053935 -0.039434 -0.055569
0.042453 0.052319 0.047697
