Convex hull shape for accurate collision detections.
Vertex Count: 31

Vertices: 

0.020897 0.042042 -0.183656
0.124133 0.133838 0.148978
0.020897 0.030563 -0.195120
-0.070858 -0.049693 0.160513
0.124133 0.042042 0.160513
-0.070858 0.042042 0.160513
-0.070857 -0.164478 -0.045981
0.020897 -0.152999 -0.023053
0.009455 0.133838 0.160513
0.020897 -0.049693 0.160513
0.020897 -0.038214 -0.206620
-0.070857 -0.038214 -0.206620
0.020897 -0.130042 -0.149228
0.124133 0.099403 0.126050
-0.070857 -0.141520 -0.137764
0.020897 -0.164478 -0.080408
-0.082359 0.087924 -0.023053
-0.059375 0.110881 -0.034517
-0.082359 0.064999 -0.137764
0.020897 0.064999 -0.137764
0.124133 0.133838 0.160513
0.124133 0.053520 0.126050
-0.070857 0.030563 -0.195120
0.009455 0.145316 0.137514
0.112671 0.019085 0.160513
-0.002027 0.110881 -0.034517
0.089728 0.156795 0.137514
0.089728 0.145316 0.103086
-0.082359 0.030563 -0.160692
-0.013489 0.122360 0.148978
0.055302 0.156795 0.160513
