Convex hull shape for accurate collision detections.
Vertex Count: 37

Vertices: 

-0.151067 0.076622 -0.104426
-0.185497 0.007757 -0.115904
-0.173976 0.076622 -0.092948
-0.185497 -0.095472 0.033190
-0.070690 0.065116 0.182411
-0.128071 0.065116 0.170932
-0.151067 -0.095472 -0.138862
0.181657 -0.095472 0.033190
0.158704 -0.095472 -0.138862
0.158704 0.076622 -0.104426
0.193133 0.076622 0.136497
-0.219925 0.076622 0.090615
-0.151067 -0.015152 -0.138862
0.227562 0.065116 -0.047065
0.193133 0.019230 -0.104426
0.216086 -0.095472 -0.058543
0.158704 -0.095472 0.044669
0.066894 0.065116 0.182411
0.227562 0.053645 0.067657
0.147184 -0.015152 -0.138862
-0.219925 0.076622 -0.047065
-0.219925 -0.049568 -0.081469
-0.208405 -0.095472 0.010328
-0.173976 0.076622 0.147976
-0.139547 0.053645 -0.115904
0.170181 0.042173 0.136497
-0.208405 -0.095472 -0.092948
0.204609 -0.095472 0.010328
-0.185497 0.053645 0.136497
0.066894 0.076622 0.182411
0.227562 0.076622 -0.035587
0.193133 -0.026624 -0.115904
-0.219925 -0.072511 -0.024108
0.089846 -0.095472 0.044669
0.204609 -0.095472 -0.092948
0.193133 0.065116 0.136497
-0.219925 0.053645 0.090615
