10800,10826,14386,681,,68Omi Cet,Mira (Omicron Ceti),2.322442,-2.977643,91.6590,10.33,-239.48,64.0,6.470,1.659,M5e-M9e,0.966,75.131148,52.288786,-4.761374,0.00004649,0.00003795,-0.00010967,0.6080139982109655,-0.051969667028267504,0.000000050081253201388894,-0.000001161031802,Omi,68,Cet,1,10800,,18.897310544316767,Omi,8.511,4.871
11734,11767,8890,424,,1Alp UMi,Polaris (Alpha Ursae Minoris),2.529750,89.264109,132.6260,44.22,-11.74,-17.0,1.970,-3.643,F7:Ib-IIv SB,0.636,1.343100,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.6622870748653336,1.5579526129751475,0.00000021438460954166665,-0.000000056917126,Alp,1,UMi,1,11734,,2495.743794831569,Alp,1.993,1.953
12082,12114,16160,753,Gl 105A,,268 G. Ceti,2.601357,6.886870,7.1803,1806.27,1442.50,26.0,5.790,6.509,K3V,0.918,5.538462,4.488223,0.861013,-0.00002374,0.00006168,0.00005304,0.681033735135593,0.1201985615767425,0.000008757044067770833,0.000006993437342,,,,1,12082,Gl 105,0.21697015538008513,,,
13813,13847,18622,897,,The1Eri,Acamar (Theta Eridani),2.971023,-40.304672,49.4315,-53.53,25.71,12.0,2.880,-0.590,A4III+...,0.128,26.857490,26.453029,-31.974932,0.00001851,0.00000023,-0.00000324,0.777812118193322,-0.7034492363510262,-0.0000002595207632013889,0.000000124645597,The-1,,Eri,1,13813,,149.96848355023724,,,
14100,14135,18884,911,,92Alp Cet,Menkar (Alpha Ceti),3.037992,4.089734,76.3942,-11.81,-78.76,-26.0,2.540,-1.875,M2III,1.630,53.342561,54.414384,5.448321,-0.00001399,-0.00002052,-0.00003099,0.7953445140056629,0.0713793229065275,-0.00000005725649567361112,-0.000000381839254,Alp,92,Cet,1,14100,,489.77881936844614,Alp,2.561,2.521
14540,14576,19356,936,,26Bet Per,Algol (Beta Persei),3.136148,40.955648,27.5710,2.39,-1.44,4.0,2.090,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.821041501386661,0.7148108979134763,0.000000011587046965277778,-0.000000006981317,Bet,26,Per,1,14540,,96.56060985415496,Bet,2.213,2.073
15471,15510,20794,1008,Gl 139,,82 G. Eridani,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.260,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-0.00001715,0.00011797,-0.00004501,0.8723007989903294,-0.7517095357877388,0.000014729027466222223,0.000003521395687,,,,1,15471,,0.6286370884130494,,,
15824,15863,20902,1017,,33Alp Per,Mirphak (Alpha Persei),3.405378,49.861180,155.2795,24.11,-26.01,-2.0,1.790,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-0.00000555,0.00002202,-0.00001419,0.8915260037750609,0.8702417516246674,0.00000011688857838194444,-0.000000126100038,Alp,33,Per,1,15824,,4040.173353730007,,,
17661,17702,23630,1165,,25Eta Tau,Alcyone (Eta Tauri),3.791410,24.105137,123.6094,19.35,-43.11,10.0,2.850,-2.610,B7III,-0.086,61.664507,94.489136,50.483636,0.00000116,0.00002299,-0.00001940,0.9925887748501628,0.42071400922220126,0.00000009381144718750002,-0.000000209003177,Eta,25,Tau,1,17661,,963.8290236239706,,,
18497,18543,25025,1231,,34Gam Eri,Zaurak (Gamma Eridani),3.967157,-13.508515,62.3441,60.51,-111.34,62.0,2.970,-1.004,M1IIIb Ca-1,1.588,30.760217,52.235828,-14.563080,0.00001154,0.00005563,-0.00004753,1.0385992839066334,-0.23576806917607127,0.00000029336075810416665,-0.000000539791551,Gam,34,Eri,1,18497,,219.5836500973188,Gam,3,2.95
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran (Alpha Tauri),4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.870,-0.682,K5III,1.538,7.027220,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.2039308112027507,0.2881416661221312,0.0000003043660286527778,-0.000000918043185,Alp,87,Tau,1,21368,Gl 171.1,163.23000728189953,Alp,0.888,0.858
22961,23015,31398,1577,,3Iot Aur,Hassaleh (Iota Aurigae),4.949894,33.166090,151.2859,3.63,-18.54,18.0,2.690,-3.209,K3IIvar,1.490,34.378539,121.884168,82.763748,0.00000364,0.00002271,-0.00000131,1.2958792109889454,0.57885747451101,0.000000017598736604166667,-0.000000089884456,Iot,3,Aur,1,22961,,1673.4009068393123,,,
23820,23875,33111,1666,Wo 9175,67Bet Eri,Cursa (Beta Eridani),5.130829,-5.086446,27.3973,-83.39,-75.44,-9.2,2.780,0.591,A3IIIvar,0.161,6.156194,26.585876,-2.429001,0.00000848,-0.00001249,-0.00000915,1.3432479534963782,-0.0887752322551,-0.00000040428612821527783,-0.00000036574344,Bet,67,Eri,1,23820,,50.53589947531675,,,
24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.860,10.898,M0V,1.543,0.578997,2.705174,-2.768220,-0.00009951,0.00012430,-0.00025439,1.359830239429058,-0.7857196034245437,0.000031542220463784724,-0.000027786562805,,,Pic,1,24129,,0.0038089037649813515,VZ,9.148,8.828
24378,24436,34085,1713,,19Bet Ori,Rigel (Beta Orionis),5.242298,-8.201640,264.5503,1.87,-0.56,21.0,0.180,-6.933,B8Ia,-0.030,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.3724303693276385,-0.143145630755865,0.00000000906601582638889,-0.000000002714956,Bet,19,Ori,1,24378,,51665.42425669497,,,
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella (Alpha Aurigae),5.278150,45.997991,13.1234,75.52,-427.13,22.2,0.080,-0.510,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816412648801,0.8028163926341112,0.00000036613129155555555,-0.000002070784673,Alp,13,Aur,1,24549,Gl 194,139.3156802945302,,,
25273,25336,35468,1790,,24Gam Ori,Bellatrix (Gamma Orionis),5.418851,6.349702,77.3994,-8.75,-13.28,18.0,1.640,-2.804,B2III,-0.224,11.658576,76.036136,8.560120,0.00000610,0.00001813,-0.00000292,1.418651833814526,0.11082320964651,-0.000000042421197048611115,-0.000000064383256,Gam,24,Ori,1,25273,,1152.3913771994878,,,
25364,25428,35497,1791,,112Bet Tau,Alnath (Beta Tauri),5.438198,28.607450,41.0509,23.28,-174.22,9.0,1.650,-1.417,B7III,-0.130,5.281578,35.650400,19.655456,-0.00000097,0.00002509,-0.00002603,1.4237168085654672,0.4992941923790525,0.00000011286462483333334,-0.000000844642394,Bet,112,Tau,1,25364,,321.21809339879854,,,
25542,25606,36079,1829,,9Bet Lep,Nihal (Beta Leporis),5.470756,-20.759441,49.1642,-5.03,-85.92,-14.0,2.810,-0.648,G5II,0.807,6.349344,45.531613,-17.425966,-0.00000166,-0.00002061,-0.00001407,1.4322406986213787,-0.3623205948292475,-0.000000024386128131944448,-0.000000416551914,Bet,9,Lep,1,25542,,158.1976398601154,,,
25865,25930,36486,1852,,34Del Ori,Mintaka (Delta Orionis),5.533445,-0.299092,212.3142,1.67,0.56,16.0,2.250,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.4486524168433992,-0.005220140244135,0.000000008096388465277777,0.000000002714956,Del,34,Ori,1,25865,,4943.106869868354,Del,2.334,2.234
25920,25985,36673,1865,,11Alp Lep,Arneb (Alpha Leporis),5.545504,-17.822289,680.2721,3.27,1.54,24.0,2.580,-6.583,F0Ib,0.211,76.877195,643.047236,-208.208000,-0.00000775,0.00002603,-0.00000268,1.4518096517173142,-0.3110576146713625,0.000000015853407354166667,0.00000000746613,Alp,11,Lep,1,25920,,37428.29122408052,,,
26176,26241,37043,1899,,44Iot Ori,Hatsya (Iota Orionis),5.590551,-5.909901,714.2857,2.27,-0.62,22.0,2.750,-6.519,O9III,-0.210,76.014147,706.411475,-73.546040,-0.00000544,0.00002287,-0.00000445,1.4636027422961173,-0.10314723630113501,0.00000001100527054861111,-0.000000003005844,Iot,44,Ori,1,26176,,35285.8025828527,,,
26246,26311,37128,1903,,46Eps Ori,Alnilam (Epsilon Orionis),5.603559,-1.201920,606.0606,1.49,-1.06,26.0,1.690,-7.223,B0Ia,-0.184,62.775122,602.666910,-12.712683,-0.00000161,0.00002683,-0.00000367,1.4670083872075836,-0.02097745796646875,0.000000007223723840277778,-0.000000005139025,Eps,46,Ori,1,26246,,67483.87308707573,Eps,1.717,1.667
26569,26634,37795,1956,,Alp Col,Phakt (Alpha Columbae),5.660817,-34.074108,80.1282,-0.10,-24.05,35.0,2.650,-1.869,B7IV,-0.120,5.885917,66.110037,-44.893180,0.00000220,0.00002432,-0.00002779,1.4819983267578802,-0.5947053712297875,-0.0000000004848136805555554,-0.00000011659769,Alp,,Col,1,26569,,487.07966649253666,,,
26662,26727,37742,1948,,50Zet Ori,Alnitak (Zeta Orionis),5.679313,-1.942572,225.7336,3.99,2.54,18.0,1.740,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-0.00000280,0.00001879,0.00000215,1.4868406872605762,-0.03390428125016375,0.000000019344065854166667,0.000000012314267,Zet,50,Ori,1,26662,,8937.169608501978,,,
27298,27366,38771,2004,,53Kap Ori,Saiph (Kappa Orionis),5.795941,-9.669605,198.4127,1.55,-1.20,21.0,2.070,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.5173738927528553,-0.168766439905435,0.000000007514612048611112,-0.000000005817764,Kap,53,Ori,1,27298,,5095.654806081146,,,
27919,27989,39801,2061,,58Alp Ori,Betelgeuse (Alpha Orionis),5.919529,7.407063,152.6718,27.33,10.86,21.0,0.450,-5.469,M2Ib,1.500,3.189296,151.364387,19.682142,-0.00001980,0.00002068,0.00001074,1.5497291183713153,0.12927763169419373,0.0000001324995788958333,0.000000052650765,Alp,58,Ori,1,27919,,13415.28798266127,Alp,0.571,0.281
28288,28360,40183,2088,NN 3375,34Bet Aur,Menkalinan (Beta Aurigae),5.992149,44.947433,24.8694,-56.41,-0.88,-19.4,1.900,-0.078,A2V,0.077,0.036195,17.601288,17.569058,0.00000677,-0.00001398,-0.00001409,1.5687409450202745,0.78448069066935,-0.00000027348339720138883,-0.00000000426636,Bet,34,Aur,1,28288,,93.58365435835302,Bet,1.967,1.897
30016,30089,44179,,,,Red Rectangle,6.332838,-10.637414,440.5286,-10.98,-21.10,0.0,8.850,0.630,B8,0.344,-37.678828,431.315480,-81.318571,0.00002408,-0.00000625,-0.00004429,1.6579330572152564,-0.18565790108725252,-0.000000053232542125,-0.000000102295686,,,Mon,1,30016,,48.75284901033863,V777,8.897,8.767
30251,30324,44743,2294,,2Bet CMa,Mirzam (Beta Canis Majoris),6.378329,-17.955918,151.0574,-3.45,-0.47,34.0,1.980,-3.916,B1II/III,-0.240,-14.209731,142.995999,-46.568852,-0.00000075,0.00003306,-0.00001105,1.6698426956468702,-0.31338988393796,-0.00000001672607197916667,-0.000000002278624,Bet,2,CMa,1,30251,,3209.223768048436,Bet,1.999,1.969
30365,30438,45348,2326,,Alp Car,Canopus (Alpha Carinae),6.399195,-52.695660,94.7867,19.99,23.67,21.0,-0.620,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.00001140,0.00002059,-0.00001049,1.6753053519997292,-0.9197127748902675,0.00000009691425474305554,0.000000114755398,Alp,,Car,1,30365,,13854.791675667215,,-0.547,-0.667
31601,31681,47105,2421,,24Gam Gem,Alhena (Gamma Geminorum),6.628528,16.399252,33.5121,-2.04,-66.92,-13.0,1.930,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.00000950,-0.00001418,1.735344593460758,0.28622094417349375,-0.000000009890199083333335,-0.000000324437315,Gam,24,Gem,1,31601,,165.34840121711517,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius (Alpha Canis Majoris),6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.440,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696021995,-0.291751258517685,-0.000002647131177201389,-0.000005929659164,Alp,9,CMa,1,32263,Gl 244,22.824433121735034,,-1.333,-1.523
33492,33579,52089,2618,,21Eps CMa,Adhara (Epsilon Canis Majoris),6.977097,-28.972084,124.2236,2.63,2.29,27.0,1.500,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.8265996485677483,-0.5056582518554612,0.00000001275059979861111,0.000000011102233,Eps,21,CMa,1,33492,,3375.981048554255,,,
34354,34444,54605,2693,,25Del CMa,Wezen (Delta Canis Majoris),7.139857,-26.393200,492.6108,-2.75,3.33,34.0,1.830,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-0.00000392,0.00003508,-0.00000833,1.869210132341708,-0.46064823373741876,-0.000000013332376215277777,0.000000016144295,Del,25,CMa,1,34354,,39192.232245497704,,,
35806,35904,58350,2827,,31Eta CMa,Aludra (Eta Canis Majoris),7.401584,-29.303104,609.7561,-3.76,6.66,41.0,2.450,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-0.00000620,0.00004711,-0.00000336,1.9377301884962992,-0.5114356374748288,-0.00000001822899438888889,0.000000032288591,Eta,31,CMa,1,35806,,33915.6386905822,Eta,2.509,2.409
36087,36188,58715,2845,,3Bet CMi,Gomeisa (Beta Canis Minoris),7.452512,8.289315,49.5786,-50.28,-38.45,22.0,2.890,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,0.00000246,0.00002640,-0.00000590,1.9510630590622124,0.144675846904975,-0.00000024376431858333333,-0.00000018641086,Bet,3,CMi,1,36087,,149.41699574067007,Bet,2.896,2.876
36107,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.840,11.940,M5,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.952186961957238,0.09120715749281125,0.000002769595112909722,-0.000017910229393,,,,1,36107,,0.0014588142602753474,,,
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor (Alpha Geminorum),7.576634,31.888276,15.5958,-206.33,-148.18,6.0,1.580,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.983558270234413,0.5565554130270287,-0.0000010003160670902778,-0.000000718396911,Alp,66,Gem,1,36744,Gl 278,49.43106869868354,,,
